TENANT_aomen.mid:写入1行！
TENANT_aomen.mif:写入1行！
TENANT_BAODING.mid:写入0行！
TENANT_BAODING.mif:写入0行！
TENANT_BEIJING_20Q4.mid:写入432行！
TENANT_BEIJING_20Q4.mif:写入432行！
TENANT_BEIJING_AB_20Q4.mid:写入270行！
TENANT_BEIJING_AB_20Q4.mif:写入270行！
TENANT_BEIJING_C_20Q4.mid:写入27行！
TENANT_BEIJING_C_20Q4.mif:写入27行！
TENANT_CHANGCHUN_20Q4.mid:写入46行！
TENANT_CHANGCHUN_20Q4.mif:写入46行！
TENANT_CHANGSHA_20Q4.mid:写入358行！
TENANT_CHANGSHA_20Q4.mif:写入358行！
TENANT_CHANGZHOU_20Q4.mid:写入11行！
TENANT_CHANGZHOU_20Q4.mif:写入11行！
TENANT_CHENGDU_20Q4.mid:写入137行！
TENANT_CHENGDU_20Q4.mif:写入137行！
TENANT_CHONGQING_20Q4.mid:写入4行！
TENANT_CHONGQING_20Q4.mif:写入4行！
TENANT_DALIAN_20Q4.mid:写入23行！
TENANT_DALIAN_20Q4.mif:写入23行！
TENANT_DONGGUAN_20Q4.mid:写入42行！
TENANT_DONGGUAN_20Q4.mif:写入42行！
TENANT_FOSHAN_20Q4.mid:写入0行！
TENANT_FOSHAN_20Q4.mif:写入0行！
TENANT_FUZHOU_20Q4.mid:写入59行！
TENANT_FUZHOU_20Q4.mif:写入59行！
TENANT_GUANGZHOU_20Q4_A.mid:写入139行！
TENANT_GUANGZHOU_20Q4_A.mif:写入139行！
TENANT_GUANGZHOU_20Q4_C.mid:写入0行！
TENANT_GUANGZHOU_20Q4_C.mif:写入0行！
TENANT_GUANGZHOU_20Q4_蓝.mid:写入279行！
TENANT_GUANGZHOU_20Q4_蓝.mif:写入279行！
TENANT_GUIYANG_20Q4.mid:写入37行！
TENANT_GUIYANG_20Q4.mif:写入37行！
TENANT_HAERBIN_20Q4.mid:写入10行！
TENANT_HAERBIN_20Q4.mif:写入10行！
TENANT_HAIKOU_20Q4.mid:写入49行！
TENANT_HAIKOU_20Q4.mif:写入49行！
TENANT_HANGZHOU.mid:写入27行！
TENANT_HANGZHOU.mif:写入27行！
TENANT_HEFEI_20Q4.mid:写入2行！
TENANT_HEFEI_20Q4.mif:写入2行！
TENANT_HUHEHAOTE_20Q4.mid:写入52行！
TENANT_HUHEHAOTE_20Q4.mif:写入52行！
TENANT_HUIZHOU_20Q4.mid:写入0行！
TENANT_HUIZHOU_20Q4.mif:写入0行！
TENANT_JINAN_20Q4.mid:写入0行！
TENANT_JINAN_20Q4.mif:写入0行！
TENANT_JINHUA_20Q4.mid:写入0行！
TENANT_JINHUA_20Q4.mif:写入0行！
TENANT_KUNMING_20Q4.mid:写入0行！
TENANT_KUNMING_20Q4.mif:写入0行！
TENANT_LANZHOU_20Q4.mid:写入16行！
TENANT_LANZHOU_20Q4.mif:写入16行！
TENANT_LIUZHOU_20Q4.mid:写入0行！
TENANT_LIUZHOU_20Q4.mif:写入0行！
TENANT_NANCHANG_20Q4.mid:写入44行！
TENANT_NANCHANG_20Q4.mif:写入44行！
TENANT_NANJING.mid:写入176行！
TENANT_NANJING.mif:写入176行！
TENANT_NANNING_20Q4.mid:写入3行！
TENANT_NANNING_20Q4.mif:写入3行！
TENANT_NANTONG_20Q4.mid:写入0行！
TENANT_NANTONG_20Q4.mif:写入0行！
TENANT_NINGBO_20Q4.mid:写入21行！
TENANT_NINGBO_20Q4.mif:写入21行！
TENANT_QINGDAO_20Q4.mid:写入2行！
TENANT_QINGDAO_20Q4.mif:写入2行！
TENANT_QINHUANGDAO_20Q4.mid:写入0行！
TENANT_QINHUANGDAO_20Q4.mif:写入0行！
TENANT_QUANZHOU_20Q4.mid:写入0行！
TENANT_QUANZHOU_20Q4.mif:写入0行！
TENANT_SANYA_20Q4.mid:写入9行！
TENANT_SANYA_20Q4.mif:写入9行！
TENANT_SHANGHAI_绿_20Q4.mid:写入254行！
TENANT_SHANGHAI_绿_20Q4.mif:写入254行！
TENANT_SHANGHAI_蓝_20Q4.mid:写入273行！
TENANT_SHANGHAI_蓝_20Q4.mif:写入273行！
TENANT_SHAOXING_20Q4.mid:写入3行！
TENANT_SHAOXING_20Q4.mif:写入3行！
TENANT_SHENYANG_BLUE_20Q4.mid:写入1行！
TENANT_SHENYANG_BLUE_20Q4.mif:写入1行！
TENANT_SHENYANG_GREEN_20Q4.mid:写入14行！
TENANT_SHENYANG_GREEN_20Q4.mif:写入14行！
TENANT_SHENZHEN_绿_20Q4.mid:写入158行！
TENANT_SHENZHEN_绿_20Q4.mif:写入158行！
TENANT_SHENZHEN_蓝_20Q4.mid:写入220行！
TENANT_SHENZHEN_蓝_20Q4.mif:写入220行！
TENANT_SHIJIAZHUANG.mid:写入1行！
TENANT_SHIJIAZHUANG.mif:写入1行！
TENANT_SUZHOU_20Q4.mid:写入9行！
TENANT_SUZHOU_20Q4.mif:写入9行！
TENANT_TAIYUAN_20Q4.mid:写入0行！
TENANT_TAIYUAN_20Q4.mif:写入0行！
TENANT_TAIZHOU_20Q4.mid:写入0行！
TENANT_TAIZHOU_20Q4.mif:写入0行！
TENANT_TANGSHAN_20Q4.mid:写入0行！
TENANT_TANGSHAN_20Q4.mif:写入0行！
TENANT_TIANJIN_20Q4.mid:写入11行！
TENANT_TIANJIN_20Q4.mif:写入11行！
TENANT_WEIFANG_20Q4.mid:写入0行！
TENANT_WEIFANG_20Q4.mif:写入0行！
TENANT_WENZHOU_20Q4.mid:写入22行！
TENANT_WENZHOU_20Q4.mif:写入22行！
TENANT_WUHAN_20Q4.mid:写入19行！
TENANT_WUHAN_20Q4.mif:写入19行！
TENANT_WUHU_20Q4.mid:写入0行！
TENANT_WUHU_20Q4.mif:写入0行！
TENANT_WULUMUQI_20Q4.mid:写入14行！
TENANT_WULUMUQI_20Q4.mif:写入14行！
TENANT_WUXI_20Q4.mid:写入109行！
TENANT_WUXI_20Q4.mif:写入109行！
TENANT_XIAMEN_20Q4.mid:写入131行！
TENANT_XIAMEN_20Q4.mif:写入131行！
TENANT_xianggang.mid:写入10行！
TENANT_xianggang.mif:写入10行！
TENANT_XIAN_20Q4.mid:写入19行！
TENANT_XIAN_20Q4.mif:写入19行！
TENANT_XINING_20Q4.mid:写入18行！
TENANT_XINING_20Q4.mif:写入18行！
TENANT_XUZHOU_20Q4.mid:写入0行！
TENANT_XUZHOU_20Q4.mif:写入0行！
TENANT_YANCHENG_20Q4.mid:写入0行！
TENANT_YANCHENG_20Q4.mif:写入0行！
TENANT_YANGZHOU_20Q4.mid:写入0行！
TENANT_YANGZHOU_20Q4.mif:写入0行！
TENANT_YANTAI_20Q4.mid:写入0行！
TENANT_YANTAI_20Q4.mif:写入0行！
TENANT_YINCHUAN_20Q4.mid:写入9行！
TENANT_YINCHUAN_20Q4.mif:写入9行！
TENANT_ZHENGZHOU_20Q4.mid:写入49行！
TENANT_ZHENGZHOU_20Q4.mif:写入49行！
TENANT_ZHONGSHAN.mid:写入42行！
TENANT_ZHONGSHAN.mif:写入42行！
TENANT_ZHUHAI_20Q4.mid:写入24行！
TENANT_ZHUHAI_20Q4.mif:写入24行！
MIF merge OK! 共写入69文件！ 3686行！
MID merge OK! 共写入69文件！ 3686行！
